Date,Lanka Auto Diesel,Lanka Petrol 92 Octane,Lanka Petrol 95 Octane,Lanka Super Diesel,dow,month,weekofyear,year,is_weekend
2025-10-01,2058.0,7522.43,557.98,275.0,2,10,40,2025,0
2025-10-02,1701.0,7401.739,541.66,251.0,3,10,40,2025,0
2025-10-03,0.0,8564.64,514.0,258.0,4,10,40,2025,0
2025-10-04,1202.0,6723.5869999999995,327.9,363.0,5,10,40,2025,1
2025-10-05,495.0,6716.558999999999,592.49,239.0,6,10,40,2025,1
2025-10-06,450.0,5775.471,511.42,128.0,0,10,41,2025,0
2025-10-07,891.0,7935.869000000001,460.64,211.0,1,10,41,2025,0
2025-10-08,1449.0,7210.639,332.41,106.0,2,10,41,2025,0
2025-10-09,1848.0,6085.3,941.89,265.0,3,10,41,2025,0
2025-10-10,0.0,7667.659,541.75,323.0,4,10,41,2025,0
2025-10-11,957.001,6975.83,489.0,249.0,5,10,41,2025,1
2025-10-12,592.0,6461.739,484.92,212.0,6,10,41,2025,1
2025-10-13,938.001,7115.24,486.92,179.0,0,10,42,2025,0
2025-10-14,1679.218,7248.61,463.0,378.0,1,10,42,2025,0
2025-10-15,1905.0,7547.559,495.97,383.0,2,10,42,2025,0
2025-10-16,2904.95,7559.551,528.31,245.0,3,10,42,2025,0
2025-10-17,3307.641,6985.84,857.75,341.0,4,10,42,2025,0
2025-10-18,2307.661,7439.27,487.82,413.0,5,10,42,2025,1
2025-10-19,1141.0,5573.3,482.17999999999995,215.0,6,10,42,2025,1
2025-10-20,1859.1909999999998,5940.988,502.84000000000003,177.0,0,10,43,2025,0
2025-10-21,2362.0,7120.409,538.88,67.0,1,10,43,2025,0
2025-10-22,2451.0,7238.93,439.97,265.0,2,10,43,2025,0
2025-10-23,2649.3109999999997,6729.92,485.0,231.0,3,10,43,2025,0
2025-10-24,3795.852,7371.6,385.0,210.0,4,10,43,2025,0
2025-10-25,2061.379,6975.019,402.79,303.0,5,10,43,2025,1
2025-10-26,1299.54,6613.3,386.0,212.0,6,10,43,2025,1
2025-10-27,2196.701,7305.11,550.0,293.0,0,10,44,2025,0
2025-10-28,2627.901,7033.370000000001,645.77,332.0,1,10,44,2025,0
2025-10-29,2181.4210000000003,7398.99,470.0,279.0,2,10,44,2025,0
2025-10-30,2886.54,7666.939,589.09,334.0,3,10,44,2025,0
2025-10-31,2711.471,7568.18,524.0,340.0,4,10,44,2025,0
2025-11-01,2296.011,7620.021,686.0,379.0,5,11,44,2025,1
2025-11-02,1215.91,6870.65,815.0,164.0,6,11,44,2025,1
2025-11-03,3162.45,7769.943,460.92,287.0,0,11,45,2025,0
2025-11-04,2924.7309999999998,7491.649,777.1,207.0,1,11,45,2025,0
2025-11-05,1458.0,5905.75,459.0,267.0,2,11,45,2025,0
2025-11-06,4293.45,6951.67,451.28,328.0,3,11,45,2025,0
2025-11-07,3474.531,7241.061,417.0,230.0,4,11,45,2025,0
2025-11-08,2497.6,6437.082,708.98,230.0,5,11,45,2025,1
2025-11-09,1347.8400000000001,6134.51,744.0,314.0,6,11,45,2025,1
2025-11-10,5552.511,7097.620999999999,531.45,55.0,0,11,46,2025,0
2025-11-11,3058.12,6995.729,476.94,341.0,1,11,46,2025,0
2025-11-12,3695.201,7036.63,557.971,362.0,2,11,46,2025,0
2025-11-13,2232.31,7680.511,842.22,191.0,3,11,46,2025,0
2025-11-14,3369.452,6869.501,362.82,306.0,4,11,46,2025,0
2025-11-15,2790.241,6755.381,528.9,256.0,5,11,46,2025,1
2025-11-16,1718.57,6501.32,304.0,152.0,6,11,46,2025,1
2025-11-17,2575.001,6903.409,577.3299999999999,146.0,0,11,47,2025,0
2025-11-18,3100.011,7055.15,600.939,512.0,1,11,47,2025,0
2025-11-19,2560.431,7079.481,499.4,175.0,2,11,47,2025,0
2025-11-20,2624.76,6906.16,250.0,313.0,3,11,47,2025,0
2025-11-21,2484.91,7667.518,607.0,232.0,4,11,47,2025,0
2025-11-22,2542.6,5253.321,973.881,227.0,5,11,47,2025,1
2025-11-23,1808.86,6685.64,446.0,187.0,6,11,47,2025,1
2025-11-24,2696.851,7077.23,583.14,313.0,0,11,48,2025,0
2025-11-25,2338.571,7237.543,663.0,179.0,1,11,48,2025,0
2025-11-26,2623.001,6662.9,315.58,376.0,2,11,48,2025,0
2025-11-27,2654.331,6722.317999999999,371.0,126.999,3,11,48,2025,0
2025-11-28,1921.52,7462.871,618.0,219.0,4,11,48,2025,0
2025-11-29,3456.659,6708.521000000001,539.0,380.0,5,11,48,2025,1
2025-11-30,1819.0,2492.324,909.0,336.0,6,11,48,2025,1
2025-12-01,2507.0,4191.37,376.0,345.0,0,12,49,2025,0
2025-12-02,2376.801,5775.82,0.0,30.0,1,12,49,2025,0
2025-12-03,2029.141,6210.4310000000005,0.0,175.0,2,12,49,2025,0
2025-12-04,2026.0,6166.562,0.0,255.0,3,12,49,2025,0
2025-12-05,2907.811,6459.4,30.0,165.0,4,12,49,2025,0
2025-12-06,2202.301,7034.53,732.751,302.001,5,12,49,2025,1
2025-12-07,2181.191,6631.27,826.96,256.0,6,12,49,2025,1
2025-12-08,6024.0,6045.08,1086.0,203.0,0,12,50,2025,0
2025-12-09,2549.081,6174.861,552.78,346.0,1,12,50,2025,0
2025-12-10,3171.841,7706.572,404.0,151.0,2,12,50,2025,0
2025-12-11,3085.341,7048.83,712.58,306.0,3,12,50,2025,0
2025-12-12,3051.04,6951.401,573.999,278.0,4,12,50,2025,0
2025-12-13,2909.83,7486.659000000001,546.0,362.0,5,12,50,2025,1
2025-12-14,2122.411,6795.902,624.54,155.0,6,12,50,2025,1
2025-12-15,3377.251,8375.869,72.0,132.0,0,12,51,2025,0
2025-12-16,3561.682,6065.451,385.33,193.0,1,12,51,2025,0
2025-12-17,3878.6809999999996,7547.5599999999995,609.001,319.0,2,12,51,2025,0
2025-12-18,2390.0,5442.1900000000005,973.488,201.0,3,12,51,2025,0
2025-12-19,3742.442,7338.361,864.74,157.0,4,12,51,2025,0
2025-12-20,2600.171,6803.608,573.0,201.0,5,12,51,2025,1
2025-12-21,1891.971,6894.719,485.021,135.0,6,12,51,2025,1
2025-12-22,3052.431,7225.961,453.63,367.0,0,12,52,2025,0
2025-12-23,6054.571,7521.12,542.0,342.0,1,12,52,2025,0
2025-12-24,3178.932,7833.669,746.0,345.0,2,12,52,2025,0
2025-12-25,1494.5610000000001,5847.74,513.88,397.001,3,12,52,2025,0
2025-12-26,3109.312,6901.329,599.15,256.0,4,12,52,2025,0
2025-12-27,2445.861,6742.1900000000005,0.0,301.0,5,12,52,2025,1
2025-12-28,1631.931,6194.55,693.8199999999999,218.0,6,12,52,2025,1
2025-12-29,2815.301,7173.711,361.13,242.0,0,12,1,2025,0
2025-12-30,2675.391,7118.731,606.0799999999999,249.0,1,12,1,2025,0
2025-12-31,6501.630999999999,8692.962,739.59,247.0,2,12,1,2025,0
